"variableType","bufferSize","lowerR","r","upperR","p","persistence"
"waterArea20",50,-0.00622022921410484,0.017374845453376,0.0409505840274233,0.148930430685584,20
"waterArea20",100,-0.0041878008398252,0.0194066414448434,0.0429794881074333,0.10693362962001,20
"waterArea20",1000,0.0165684745528532,0.0401453069606248,0.0636775210170821,0.000850104189320512,20
"waterArea20",10000,0.044043517047679,0.0675658344326895,0.0910132797318056,0.0000000192446906308567,20
"waterArea20",100000,0.134528415551644,0.157620673706293,0.180541823197603,0.00000000000000000000000000000000000000122366137688541,20
"waterArea500",50,-0.0292524487590361,-0.00566383269852709,0.0179310882203029,0.638026401716079,20
"waterArea500",100,-0.0224901801152359,0.00110292999262104,0.0246948123043527,0.927005558573823,20
"waterArea500",1000,0.0165022485840101,0.0400791694656192,0.0636115452659401,0.000867078105761992,20
"waterArea500",10000,0.0460598702380053,0.0695767882175689,0.0930166270514059,0.00000000719598957341832,20
"waterArea500",100000,0.134980105838713,0.158069255787108,0.180986835009532,0.000000000000000000000000000000000000000739330493344757,20
"waterArea1000",50,-0.00472309935677125,0.0188715283876561,0.0424451555513021,0.116958242022581,20
"waterArea1000",100,-0.00312512570779767,0.0204689083498062,0.0440401656642202,0.089057262175672,20
"waterArea1000",1000,0.00599478376120655,0.0295831246512577,0.0531385619842257,0.01397879847941,20
"waterArea1000",10000,0.0478103967185618,0.071322472147156,0.0947555540299123,0.0000000059915416076074,20
"waterArea1000",100000,0.135998237858417,0.159080346807259,0.181989844333963,0.000000000000000000000000000000000000000236181821651417,20
"waterArea5000",50,NA,NA,NA,NA,20
"waterArea5000",100,NA,NA,NA,NA,20
"waterArea5000",1000,-0.0123222107406301,0.0112735915214805,0.0348568454526054,0.349041199656501,20
"waterArea5000",10000,0.0505209387628557,0.0740252317603605,0.0974475701121853,0.000000000740313892153782,20
"waterArea5000",100000,0.13854584447139,0.161610123036241,0.184499191101502,0.0000000000000000000000000000000000000000131475215929508,20
"waterBodies",50,-0.0335910895750559,-0.0100064948153032,0.0135892382044243,0.405864846761281,20
"waterBodies",100,-0.0466160445617681,-0.0230488685883174,0.000543952095555092,0.0555221228650811,20
"waterBodies",1000,-0.0678653987569755,-0.0443438735542282,-0.020773081125045,0.000228560813966165,20
"waterBodies",10000,-0.0848377646985378,-0.0613680702733885,-0.0378303171623883,0.000000671316140857318,20
"waterBodies",100000,-0.116771014905527,-0.0934358987259938,-0.0699976759234326,0.00000000000000736176007808526,20
"total_precipitation",50,0.164491476212501,0.187652996821399,0.210607697186767,0.00000000000000000000000000000000000000000000000000000234711746172007,20
"total_precipitation",100,0.164942973567228,0.188100704450603,0.21105115778202,0.00000000000000000000000000000000000000000000000000000130284269023064,20
"total_precipitation",1000,0.164321222301397,0.187393792445677,0.210261422267754,0.00000000000000000000000000000000000000000000000000000127391083475616,20
"total_precipitation",10000,0.167520261992655,0.190360439416973,0.212996379803242,0.00000000000000000000000000000000000000000000000000000000250307881624901,20
"total_precipitation",100000,0.283758723601525,0.305307342614591,0.326547753482852,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007782008,20
"distance20",50,-0.0281409297223216,-0.00427826419306957,0.0195892747370725,0.725362132655288,20
"distance20",100,-0.0276314998995174,-0.00376844616118568,0.0200989002583237,0.756987994256376,20
"distance20",1000,-0.0302864997038956,-0.00642737533144059,0.0174390692558389,0.597628504080788,20
"distance20",10000,-0.0471178001607967,-0.0233611620733877,0.000421888790899111,0.0542061416325974,20
"distance20",100000,-0.103921808474164,-0.0805267172029511,-0.0570425634021337,0.0000000000417721357024984,20
"distance500",50,-0.0107344601618944,0.013784885542155,0.0382876643973043,0.270488543044324,20
"distance500",100,-0.00769209368085863,0.0168210442395677,0.0413139777784419,0.178628472619944,20
"distance500",1000,-0.00719903062805598,0.0172776480773568,0.0417336357591163,0.166494330686872,20
"distance500",10000,-0.0161326999909983,0.00818730646205452,0.0324976311486973,0.509373529403063,20
"distance500",100000,-0.0831964856866255,-0.0596113565999042,-0.0359594840390389,0.000000810259661102658,20
"distance1000",50,0.0194794362032023,0.0485738027363294,0.0775859739421424,0.0010743300048859,20
"distance1000",100,0.0234692352958123,0.0489487914299463,0.0743647979450258,0.000336364134872657,20
"distance1000",1000,0.0212259978855505,0.0466450983218807,0.0720039328884911,0.000650314632570281,20
"distance1000",10000,-0.00839401936183417,0.0165179591181108,0.0414094465598753,0.193733896693044,20
"distance1000",100000,-0.075030849128365,-0.051281773869211,-0.0274745563378859,0.0000246444845437899,20
"distance5000",50,NA,NA,NA,NA,20
"distance5000",100,-0.221068488370445,-0.160099373833556,-0.097883719663551,0.00000119863971985021,20
"distance5000",1000,-0.152715743184352,-0.123316073098057,-0.0936983314356483,0.000000000000000571878824344277,20
"distance5000",10000,-0.143678079133623,-0.11543847624318,-0.0870110267272682,0.00000000000000270549510557725,20
"distance5000",100000,-0.0887674377831736,-0.0643343157467755,-0.0398238179354873,0.000000281012961394426,20
"waterArea",50,-0.00158574373226467,0.022007604502654,0.0455764654131761,0.067512925492431,50
"waterArea",100,-0.000825425779190004,0.022767542486215,0.0463351787247001,0.058572203513277,50
"waterArea",1000,0.0222891372417953,0.0458575476212739,0.0693750160082279,0.000138360512863662,50
"waterArea",10000,0.0496174761289538,0.0731244014849673,0.0965503587358574,0.00000000118624293282782,50
"waterArea",100000,0.137860530163977,0.160929634961436,0.183824227714458,0.0000000000000000000000000000000000000000287273087521087,50
"waterArea20",50,-0.000787771220624212,0.022805177518334,0.0463727523997333,0.0581562812022092,50
"waterArea20",100,-0.000564997478091503,0.0230278343694801,0.0465950448849626,0.0557455007763395,50
"waterArea20",1000,0.0223717476790289,0.0459400251505251,0.0694572693942771,0.000134569264454521,50
"waterArea20",10000,0.0496407399479625,0.0731475980028742,0.0965734625441019,0.00000000117201018182591,50
"waterArea20",100000,0.137818306057991,0.160887707495643,0.183782639939637,0.0000000000000000000000000000000000000000301412309358744,50
"waterArea500",50,-0.0351234445375907,-0.0115404826740389,0.0120553245116694,0.337749369161419,50
"waterArea500",100,-0.0245429909885861,-0.000951016763838784,0.0226420161455663,0.93703696503976,50
"waterArea500",1000,0.0239002779599762,0.0474660382775769,0.0709790776983748,0.0000798313249373901,50
"waterArea500",10000,0.0507169942016307,0.0742207109006673,0.0976422589286337,0.00000000133565633846515,50
"waterArea500",100000,0.137815897250725,0.160885315608641,0.183780267428927,0.0000000000000000000000000000000000000000302239473499741,50
