"variableType","bufferSize","lowerR","r","upperR","p","persistence"
"distance500",1000,-0.0459760778638307,-0.0214596026238759,0.00308270861198538,0.0865634843130594,10
"distance500",10000,-0.0556905255773986,-0.03138816505317,-0.00704863520578527,0.0114968240422147,10
"distance500",100000,-0.102710888176507,-0.0791108931750664,-0.055421885540145,0.0000000000675667134785695,10
"distance1000",50,-0.0378217473487074,-0.00901966910588282,0.0197973828432096,0.5395791962847,10
"distance1000",100,-0.0320558213977038,-0.00683297311669756,0.0183985727350918,0.595584038741786,10
"distance1000",1000,-0.0349304024182915,-0.00976270137185539,0.0154173745825486,0.447307598229532,10
"distance1000",10000,-0.0534186817513591,-0.0287527342295563,-0.00405172113773794,0.0225312740071152,10
"distance1000",100000,-0.107031437923571,-0.0834279484954632,-0.0597304752309873,0.0000000000122513039618901,10
"distance5000",50,NA,NA,NA,NA,10
"distance5000",100,-0.143480224877509,-0.0835353269901442,-0.0229797007350855,0.00692151835446848,10
"distance5000",1000,-0.106611963056649,-0.0779776345651043,-0.049214071554411,0.000000231691207354836,10
"distance5000",10000,-0.100648305224928,-0.0729321885090785,-0.0451029623207787,0.000000296991313400219,10
"distance5000",100000,-0.0915419183756478,-0.0673881394328157,-0.0431551134792674,0.0000000533355077260975,10
"waterArea",50,0.00708223808502726,0.0306696384532641,0.0542229290333518,0.0108305649023877,20
"waterArea",100,0.00594726570273837,0.0295356464192908,0.0530911762937484,0.0141331417542611,20
"waterArea",1000,0.022682565195198,0.0462503397284407,0.0697667377880302,0.000121163793921472,20
"waterArea",10000,0.0493775216062485,0.0728851396550017,0.0963120516920168,0.00000000134323429013019,20
"waterArea",100000,0.136978723045116,0.160054005580422,0.182955675551763,0.0000000000000000000000000000000000000000781435514576437,20
"waterArea20",50,0.00882524921983455,0.0324110258160594,0.0559607598701218,0.00708394841884966,20
"waterArea20",100,0.00663777124615747,0.0302255627621807,0.0537797374674008,0.01203192734453,20
"waterArea20",1000,0.0225260362223025,0.0460940646058575,0.0696108893714713,0.000127749155324538,20
"waterArea20",10000,0.0493108149651634,0.0728186250997666,0.0962458020892885,0.00000000139036040756852,20
"waterArea20",100000,0.134528415551644,0.157620673706293,0.180541823197603,0.00000000000000000000000000000000000000122366137688541,20
"waterArea500",50,-0.0203442425453799,0.00324984218108438,0.0268403091744224,0.787204029949018,20
"waterArea500",100,-0.0201346888019002,0.00345947944126231,0.0270497965879459,0.773839447111108,20
"waterArea500",1000,0.0223198911144659,0.0458882520530541,0.0694056370341616,0.00013693751686986,20
"waterArea500",10000,0.0508658082102395,0.0743690862696319,0.097790033217982,0.000000000617477442489143,20
"waterArea500",100000,0.138050333113706,0.161118103445847,0.184011168238989,0.0000000000000000000000000000000000000000231435425414862,20
"waterArea1000",50,-0.00472309935677125,0.0188715283876561,0.0424451555513021,0.116958242022581,20
"waterArea1000",100,-0.00312512570779767,0.0204689083498062,0.0440401656642202,0.089057262175672,20
"waterArea1000",1000,0.0131780113443183,0.0367591077366494,0.0602993386213696,0.00225539456281169,20
"waterArea1000",10000,0.0516053641196686,0.0751064468507726,0.0985243913778878,0.000000000417317218843407,20
"waterArea1000",100000,0.138790303809115,0.161852855495152,0.184739947660997,0.00000000000000000000000000000000000000000994029150945402,20
"waterArea5000",50,NA,NA,NA,NA,20
"waterArea5000",100,NA,NA,NA,NA,20
"waterArea5000",1000,-0.0123222107406301,0.0112735915214805,0.0348568454526054,0.349041199656501,20
"waterArea5000",10000,0.0562552366617611,0.079741927823297,0.103140413273006,0.0000000000326293524491928,20
"waterArea5000",100000,0.14068040306929,0.16372950875492,0.186601231807201,0.00000000000000000000000000000000000000000112731326697613,20
